Item,Time,Distance(mi),Speed(mph),Pace(min/mi),HeartRate(bpm),Latitude,Longitude,Altiutde(ft)
0,00:00:00,0,0, ----,0,200.0,200.0,0
1,00:00:04,0,0, ----,0,200.0,200.0,0
2,00:00:08,0,0, ----,0,200.0,200.0,0
3,00:00:12,0,0, ----,0,200.0,200.0,0
4,00:00:16,0,0, ----,0,200.0,200.0,0
5,00:00:20,0,0, ----,0,200.0,200.0,0
6,00:00:24,0,0, ----,0,200.0,200.0,0
7,00:00:28,0,0, ----,0,200.0,200.0,0
8,00:00:32,0,0, ----,0,200.0,200.0,0
9,00:00:36,0,0, ----,0,200.0,200.0,0
10,00:00:40,0,0, ----,0,200.0,200.0,0
11,00:00:44,0,0, ----,0,200.0,200.0,0
12,00:00:48,0,0, ----,0,200.0,200.0,0
13,00:00:52,0,0, 99:59,72,200.0,200.0,0
14,00:00:56,0,0.1, 99:59,72,200.0,200.0,0
15,00:01:00,0,0.2, 99:59,72,200.0,200.0,0
16,00:01:04,0,0.3, 99:59,72,200.0,200.0,0
17,00:01:08,0,0.5, 99:59,89,200.0,200.0,0
18,00:01:12,0,0.6, 95:36,89,200.0,200.0,0
19,00:01:16,0,0.8, 78:30,89,200.0,200.0,0
20,00:01:20,0,0.9, 66:35,89,200.0,200.0,0
21,00:01:24,0,1, 61:30,83,200.0,200.0,0
22,00:01:28,0,1, 61:30,83,200.0,200.0,0
23,00:01:32,0,0.9, 66:35,83,200.0,200.0,0
24,00:01:36,0,0.8, 78:30,83,200.0,200.0,0
25,00:01:40,0,0.6, 95:36,81,200.0,200.0,0
26,00:01:44,0,0.5, 99:59,81,200.0,200.0,0
27,00:01:48,0,0.3, 99:59,81,200.0,200.0,0
28,00:01:52,0,0.2, 99:59,81,200.0,200.0,0
29,00:01:56,0,0.1, 99:59,70,200.0,200.0,0
30,00:02:00,0,0, 99:59,70,200.0,200.0,0
31,00:02:04,0,0, ----,70,200.0,200.0,0
32,00:02:08,0,0, ----,70,200.0,200.0,0
33,00:02:12,0,0, ----,65,200.0,200.0,0
34,00:02:16,0,0, ----,65,200.0,200.0,0
35,00:02:20,0,0, ----,65,200.0,200.0,0
36,00:02:24,0,0, ----,65,200.0,200.0,0
37,00:02:28,0,0, ----,65,200.0,200.0,0
38,00:02:32,0,0, ----,65,200.0,200.0,0
39,00:02:36,0,0, ----,65,200.0,200.0,0
40,00:02:40,0,0, ----,65,200.0,200.0,0
41,00:02:44,0,0, ----,65,200.0,200.0,0
42,00:02:48,0,0, ----,65,200.0,200.0,0
43,00:02:52,0,0, ----,65,200.0,200.0,0
44,00:02:56,0,0, ----,65,200.0,200.0,0
45,00:03:00,0,0, ----,65,200.0,200.0,0
46,00:03:04,0,0, ----,65,200.0,200.0,0
47,00:03:08,0,0, ----,65,200.0,200.0,0
48,00:03:12,0,0, ----,65,200.0,200.0,0
49,00:03:16,0,0, ----,70,200.0,200.0,0
50,00:03:20,0,0, ----,70,200.0,200.0,0
51,00:03:24,0,0, ----,70,200.0,200.0,0
52,00:03:28,0,0, ----,70,200.0,200.0,0
